,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
day1: ,1145.49,2094.3628,2693.8901,2826.7107,2571.8406,2271.8406,1971.8406,1671.8406,1371.8406,1071.8406,771.8406,471.84058,171.84058,-128.15942,-428.15942,-728.1594,-1028.1594,-1328.1594,-1628.1594,-1928.1594,
day2: ,1097.8796,2223.28,2814.8694,2890.3096,2656.31,2356.31,2056.31,1756.31,1456.31,1156.31,856.31006,556.31006,256.31006,-43.68994,-343.68994,-643.68994,-943.68994,-1243.69,-1543.69,-1843.69,
day3: ,1136.9697,2131.299,2743.5505,2877.0803,2664.8105,2364.8105,2064.8105,1764.8105,1464.8105,1164.8105,864.81055,564.81055,264.81055,-35.189453,-335.18945,-635.18945,-935.18945,-1235.1895,-1535.1895,-1835.1895,
day4: ,1116.4703,2156.8025,2746.9827,2905.901,2684.8809,2384.8809,2084.8809,1784.8809,1484.8809,1184.8809,884.88086,584.88086,284.88086,-15.119141,-315.11914,-615.11914,-915.11914,-1215.1191,-1515.1191,-1815.1191,
day5: ,1147.1298,2136.5513,2705.6504,2838.8909,2604.8105,2304.8105,2004.8105,1704.8105,1404.8105,1104.8105,804.81055,504.81055,204.81055,-95.18945,-395.18945,-695.18945,-995.18945,-1295.1895,-1595.1895,-1895.1895,
day6: ,1156.1603,2175.07,2759.2507,2854.1914,2632.2212,2332.2212,2032.2212,1732.2212,1432.2212,1132.2212,832.2212,532.2212,232.22119,-67.77881,-367.7788,-667.7788,-967.7788,-1267.7788,-1567.7788,-1867.7788,
day7: ,1130.09,2147.139,2713.5476,2802.0186,2605.539,2305.539,2005.5391,1705.5391,1405.5391,1105.5391,805.53906,505.53906,205.53906,-94.46094,-394.46094,-694.46094,-994.46094,-1294.4609,-1594.4609,-1894.4609,
day8: ,1114.5798,2081.0708,2772.4004,2882.3298,2615.419,2315.419,2015.419,1715.419,1415.419,1115.419,815.41895,515.41895,215.41895,-84.581055,-384.58105,-684.58105,-984.58105,-1284.581,-1584.581,-1884.581,
day9: ,1166.7603,2196.5898,2801.8303,2897.94,2661.4292,2361.4292,2061.4292,1761.4292,1461.4292,1161.4292,861.4292,561.4292,261.4292,-38.5708,-338.5708,-638.5708,-938.5708,-1238.5708,-1538.5708,-1838.5708,
day10: ,1141.5204,2166.0793,2715.9387,2789.4282,2575.7886,2275.7886,1975.7886,1675.7886,1375.7886,1075.7886,775.7886,475.78857,175.78857,-124.211426,-424.21143,-724.2114,-1024.2114,-1324.2114,-1624.2114,-1924.2114,
day11: ,1106.5302,2105.3708,2715.0115,2831.6118,2569.8616,2269.8616,1969.8616,1669.8616,1369.8616,1069.8616,769.8616,469.86157,169.86157,-130.13843,-430.13843,-730.1384,-1030.1384,-1330.1384,-1630.1384,-1930.1384,
day12: ,1213.9307,2206.5068,2827.5784,2934.3389,2634.3389,2334.3389,2034.3389,1734.3389,1434.3389,1134.3389,834.33887,534.33887,234.33887,-65.66113,-365.66113,-665.66113,-965.66113,-1265.6611,-1565.6611,-1865.6611,
day13: ,1112.1788,2173.4905,2775.5,2836.3198,2565.9597,2265.9597,1965.9597,1665.9597,1365.9597,1065.9597,765.9597,465.95972,165.95972,-134.04028,-434.04028,-734.0403,-1034.0403,-1334.0403,-1634.0403,-1934.0403,
day14: ,1123.2695,2179.2588,2702.6697,2821.711,2593.3105,2293.3105,1993.3105,1693.3105,1393.3105,1093.3105,793.31055,493.31055,193.31055,-106.68945,-406.68945,-706.68945,-1006.68945,-1306.6895,-1606.6895,-1906.6895,
